"id","namn","nyval_tillatet","adresser.adressid","adresser.adressrad","adresser.postnummer","adresser.postort","adresser.koordinater.latitud","adresser.koordinater.longitud","adresser.koordinater.north","adresser.koordinater.east","datum"
10072133,"Cleverex Jobbförmedling & Utbildning AB",FALSE,331786,Kronstrandsgatan 1,15136,Södertälje,59.20171,17.624346,6565462,649867,"2023-11-29"
10072135,"Cleverex Jobbförmedling & Utbildning AB",FALSE,336815,Tingvallavägen 7A,19531,Märsta,59.618927,17.846329,6612415,660552,"2023-11-29"
10072135,"Cleverex Jobbförmedling & Utbildning AB",FALSE,335333,Turebergs allé 2,19162,Sollentuna,59.430416,17.943447,6591674,666957,"2023-11-29"
10072135,"Cleverex Jobbförmedling & Utbildning AB",FALSE,336906,Rosengatan 8,17270,Sundbyberg,59.362755,17.972136,6584217,668920,"2023-11-29"
10072135,"Cleverex Jobbförmedling & Utbildning AB",FALSE,335334,Rissneleden 10,17453,Sundbyberg,59.37738,17.968496,6585835,668641,"2023-11-29"
10072135,"Cleverex Jobbförmedling & Utbildning AB",FALSE,331789,Sturevägen 3,17756,Järfälla,59.421356,17.836113,6590402,660914,"2023-11-29"
10072136,"Enrival AB",FALSE,331795,Repslagaregatan 19,60225,Norrköping,58.58931,16.1919,6494938,569289,"2023-11-29"
10072136,"Enrival AB",FALSE,331794,Kanalhamnen 3,61434,Söderköping,58.48237,16.323017,6483175,577145,"2023-11-29"
10072137,"Enrival AB",FALSE,331801,Östra Kyrkogatan 14B,38732,Borgholm,56.87792,16.655718,6305018,600905,"2023-11-29"
10072137,"Enrival AB",FALSE,331799,Gamla Stationsgatan 7C,38230,Nybro,56.74348,15.91011,6289202,555666,"2023-11-29"
10072137,"Enrival AB",FALSE,336375,Norra Vägen 18,39234,Kalmar,56.66594,16.354654,6281021,583025,"2023-11-29"
10072138,"Enrival AB",FALSE,331807,Trindyxegatan 2,21376,Malmö,55.561794,13.033121,6159066,375954,"2023-11-29"
10072138,"Enrival AB",FALSE,331810,Kontinentgatan 2,23142,Trelleborg,55.372807,13.159305,6137820,383355,"2023-11-29"
10072138,"Enrival AB",FALSE,331805,Södra Bulltoftavägen 46,21222,Malmö,55.60761,13.042541,6164147,376692,"2023-11-29"
10072138,"Enrival AB",FALSE,331808,Nygatan 7,23331,Svedala,55.508953,13.237586,6152841,388699,"2023-11-29"
10072138,"Enrival AB",FALSE,331806,Hyacintgatan 2,21526,Malmö,55.57287,12.987655,6160381,373123,"2023-11-29"
10072138,"Enrival AB",FALSE,331804,Föreningsgatan 26,21152,Malmö,55.59858,13.008283,6163204,374506,"2023-11-29"
10072139,"ROMAK AB",FALSE,331809,Rinkebytorget 8,16373,Spånga,59.387722,17.929173,6586887,666357,"2023-11-29"
10072140,"Enrival AB",FALSE,331813,Västra Stationsgatan 10D,82143,Bollnäs,61.34817,16.39444,6802366,574589,"2023-11-29"
10072140,"Enrival AB",FALSE,331812,Kyrkogatan 16,82632,Söderhamn,61.302082,17.051117,6798161,609869,"2023-11-29"
